"ENTITY_ID","GSM_TYPE","GPRS_TYPE","SENT_BYTES","RECEIVED_BYTES","NAME","LATITUDE","LONGITUDE","POSTAL_CODE","DBM"
"818327","UNKNOWN","START","","","GPRS","41,7292138889","0,8992","25337","-78"
"855991","UNKNOWN","STOP","88630","139528","UNKNOWN","38,9132638889","-1,345875","2690","-104"
"794300","UNKNOWN","STOP","0","0","UNKNOWN","43,165425","-8,72425","15147","-69"
"795695","UNKNOWN","START","","","GPRS","37,3925611111","-5,9972611111","41001","-102"
"797757","UNKNOWN","START","","","GPRS","38,592075","-6,5673638889","6150","-71"
"797325","UNKNOWN","STOP","0","0","UNKNOWN","36,72825","-4,447025","29010","-102"
"855953","UNKNOWN","STOP","989170","1533464","UNKNOWN","38,5498","-0,2039861111","3509","-87"
"838975","UNKNOWN","START","","","GPRS","40,3572","-3,6865","28021","-55"
"880624","UNKNOWN","STOP","0","0","UNKNOWN","36,742425","-6,4265138889","11550","-108"
"856229","UNKNOWN","STOP","2022385","4795213","UNKNOWN","38,0094","-1,1395666667","30100","-80"
"855548","UNKNOWN","STOP","1155894","1581838","UNKNOWN","40,1493138889","-0,2595944444","12120","-94"
"780489","UNKNOWN","START","","","GPRS","40,6624888889","-3,7684388889","28770","-79"
"779703","UNKNOWN","START","","","GPRS","42,2636","3,1790861111","17480","-104"
"791210","UNKNOWN","STOP","1120","1002","UNKNOWN","41,2289388889","1,7414138889","8800","-75"
"779011","UNKNOWN","STOP","5304","5832","UNKNOWN","40,408725","-3,71165","28005","-56"
"787047","UNKNOWN","STOP","0","0","UNKNOWN","40,4702138889","-3,68655","28036","-92"
"780451","UNKNOWN","START","","","GPRS","37,5808611111","-4,6421888889","14550","-61"
"789755","UNKNOWN","START","","","GPRS","42,0374111111","-3,7214638889","9340","-100"
"709118","UNKNOWN","START","","","GPRS","41,6533638889","-0,8974611111","50010","-83"
"833743","UNKNOWN","STOP","12275","10794","UNKNOWN","41,639025","-4,7206388889","47012","-95"
"793452","UNKNOWN","START","","","GPRS","37,3471916667","-6,0392138889","41927","-70"
"788129","UNKNOWN","START","","","GPRS","40,46855","-3,4713","28850","-81"
"796480","UNKNOWN","START","","","GPRS","40,38465","-3,7028138889","28026","-108"
"796347","UNKNOWN","STOP","0","0","UNKNOWN","36,5291361111","-6,2925","11006","-108"
"763129","UNKNOWN","STOP","0","0","UNKNOWN","41,3599","2,10805","8901","-63"
"761882","UNKNOWN","STOP","0","0","UNKNOWN","41,3579","2,1115","8901","-102"
"791543","UNKNOWN","STOP","1862","2189","UNKNOWN","37,4147888889","-5,960625","41008","-87"
"787911","UNKNOWN","START","","","GPRS","41,69345","2,8337611111","17310","-89"
"761785","UNKNOWN","STOP","0","0","UNKNOWN","41,3599138889","2,109675","8907","-73"
"803153","UNKNOWN","START","","","GPRS","37,8031111111","-0,824175","30730","-78"
"836349","UNKNOWN","STOP","0","0","UNKNOWN","36,35895","-6,1569611111","11139","-91"
"837540","UNKNOWN","STOP","12842","12431","UNKNOWN","42,1754","-1,58505","31513","-67"
"763060","UNKNOWN","STOP","0","0","UNKNOWN","41,3599","2,10805","8901","-98"
"763442","UNKNOWN","STOP","0","0","UNKNOWN","41,3599","2,10805","8901","-95"
"763063","UNKNOWN","STOP","0","0","UNKNOWN","41,3599","2,11495","8901","-89"
"789693","UNKNOWN","STOP","0","0","UNKNOWN","40,42665","-3,55825","28823","-98"
"1114658","UNKNOWN","STOP","327","712","UNKNOWN","40,4847138889","-3,3649861111","28805","-58"
"809113","UNKNOWN","START","","","GPRS","42,230375","-2,096825","26580","-96"
"811019","UNKNOWN","STOP","0","0","UNKNOWN","40,3241611111","-3,860525","28931","-69"
"811345","UNKNOWN","STOP","39329","39990","UNKNOWN","40,714625","-3,9482111111","28413","-84"
"813760","UNKNOWN","START","","","GPRS","38,4415138889","-0,4089138889","3560","-70"
"816505","UNKNOWN","START","","","GPRS","43,1849","-2,4650638889","20600","-67"
"838787","UNKNOWN","STOP","3534","1847","UNKNOWN","39,963575","-4,82135","45600","-75"
"841927","UNKNOWN","START","","","GPRS","36,511125","-4,8876138889","29601","-64"
"882764","UNKNOWN","STOP","0","0","UNKNOWN","38,0268388889","-1,2360361111","30565","-75"
"883832","UNKNOWN","STOP","1077","1279","UNKNOWN","40,7854","-3,1507888889","19210","-92"
"883668","UNKNOWN","STOP","0","0","UNKNOWN","39,4641638889","-0,5131888889","46930","-108"
"885439","UNKNOWN","START","","","GPRS","40,4458638889","-3,463","28850","-70"
"885804","UNKNOWN","STOP","0","0","UNKNOWN","40,557875","-3,6172","28703","-59"
"1008815","UNKNOWN","START","","","GPRS","41,37405","2,1253638889","8028","-66"
"1008485","UNKNOWN","START","","","GPRS","41,643125","-0,87245","50013","-66"
"1009087","UNKNOWN","START","","","GPRS","41,407825","2,1956888889","8018","-104"
"1009261","UNKNOWN","START","","","GPRS","42,3558361111","1,4753111111","25700","-108"
"1026373","UNKNOWN","STOP","10254","15992","UNKNOWN","43,2998861111","-2,8663","48170","-108"
"1047634","UNKNOWN","STOP","20298","29308","UNKNOWN","43,2998611111","-2,8725611111","48170","-107"
"1046272","UNKNOWN","STOP","2794044","3749416","UNKNOWN","43,3528138889","-3,3183527778","39788","-88"
"1045940","UNKNOWN","STOP","1494612","2859352","UNKNOWN","39,4542138889","-0,4007611111","46007","-97"
"1046586","UNKNOWN","START","","","GPRS","37,9456666667","-1,1824527778","30167","-103"
"1070200","UNKNOWN","START","","","GPRS","38,086675","-1,24795","30562","-82"
"1110481","UNKNOWN","START","","","GPRS","28,4994638889","-13,8621138889","35600","-92"
"1208098","UNKNOWN","STOP","2686","3294","UNKNOWN","43,2998861111","-2,8663","48170","-71"
"1187293","UNKNOWN","STOP","183373","1436002","UNKNOWN","43,3319611111","-7,6882333333","27820","-70"
"788308","UNKNOWN","START","","","GPRS","40,6716388889","-3,7737","28770","-69"
"791302","UNKNOWN","START","","","GPRS","37,279625","-5,9183111111","41701","-97"
"816617","UNKNOWN","STOP","0","0","UNKNOWN","40,4295888889","-3,6867861111","28001","-66"
"800255","UNKNOWN","START","","","GPRS","40,040625","-6,62885","10840","-74"
"804236","UNKNOWN","STOP","0","0","UNKNOWN","43,3058388889","-8,2981388889","15168","-68"
"813426","UNKNOWN","START","","","GPRS","41,6338111111","2,346675","8440","-109"
"885936","UNKNOWN","START","","","GPRS","37,168","-4,2916388889","18314","-63"
"779458","UNKNOWN","STOP","1037","899","UNKNOWN","36,6961888889","-6,124075","11405","-73"
"797076","UNKNOWN","START","","","GPRS","36,876675","-2,3468","4130","-67"
"797398","UNKNOWN","START","","","GPRS","37,3860111111","-5,9785888889","41018","-78"
"827320","UNKNOWN","START","","","GPRS","37,3753","-6,003825","41010","-58"
"828758","UNKNOWN","STOP","23528","22576","UNKNOWN","40,440025","-3,6911","28003","-106"
"829553","UNKNOWN","STOP","482","711","UNKNOWN","40,557875","-3,6172","28703","-106"
"829877","UNKNOWN","START","","","GPRS","40,5774222222","-4,0032222222","28260","-93"
"830076","UNKNOWN","STOP","0","0","UNKNOWN","40,43085","-3,66345","28028","-64"
"830628","UNKNOWN","STOP","0","0","UNKNOWN","40,54575","-3,4635","28864","-107"
"880336","UNKNOWN","START","","","GPRS","40,1733","-3,6124361111","28350","-69"
"883392","UNKNOWN","STOP","789","718","UNKNOWN","38,9663722222","-0,1838916667","46702","-68"
"799756","UNKNOWN","START","","","GPRS","36,70155","-5,38295","11600","-60"
"803077","UNKNOWN","STOP","8719","7692","UNKNOWN","41,4674138889","2,246525","8915","-100"
"804933","UNKNOWN","STOP","0","0","UNKNOWN","37,392","-5,9945111111","41003","-84"
