"ENTITY_ID","LATITUDE","LONGITUDE","POSTAL_CODE"
"828802","36,7761888889","-2,8196111111","4700"
"810948","38,5550611111","-0,4992861111","3100"
"811314","42,3412638889","-3,701425","9002"
"804951","36,7481888889","-3,8746888889","29780"
"823468","40,4053","-3,673325","28007"
"813270","38,2942","-0,6223138889","3203"
"805120","38,32565","-6,7722861111","6380"
"811094","40,419525","-3,7081861111","28013"
"811661","36,9274361111","-6,0800861111","41740"
"779809","40,4568","-3,878825","28222"
"779386","40,462375","-3,5786111111","28042"
"780427","40,43025","-3,5338388889","28830"
"781308","39,98705","-0,049","12006"
"781330","41,4965388889","2,035825","8191"
"782621","40,6262388889","-3,1657","19002"
"808002","40,43455","-3,7138","28015"
"828062","41,5453611111","2,1978","8100"
"809659","40,4217361111","-3,7094611111","28013"
"811245","41,4373","2,174025","8042"
"816701","40,6565","-6,9140611111","37480"
"819924","36,5283","-6,187675","11510"
"820731","40,2709138889","-3,6981","28906"
"832206","41,4009","2,1416","8021"
"829501","36,697625","-6,118725","11405"
"835548","40,3241611111","-3,870875","28931"
"856134","38,8731361111","-1,1517361111","2640"
"857547","41,5137194444","2,1262194444","8210"
"856929","41,5137194444","2,1262194444","8210"
"782710","40,452525","-3,473575","28850"
"784087","38,5592138889","-6,345675","6220"
"785277","42,4659388889","-2,4483388889","26001"
"785327","40,4461861111","-3,4723638889","28850"
"786891","38,8398638889","0,114","3700"
"824042","43,3253111111","-3,869525","39620"
"825296","37,8812638889","-4,7820888889","14003"
"811663","41,410425","2,2092361111","8019"
"817086","38,368975","-0,4471638889","3016"
"815549","40,4411","-3,656275","28027"
"832556","43,36365","-5,8459361111","33003"
"812643","40,2273611111","-3,773175","28981"
"819693","43,1851138889","-2,509375","48260"
"831452","41,3917138889","1,9432138889","8759"
"881428","42,031","2,290825","8570"
"789278","37,31535","-4,3883","14960"
"789664","42,5226138889","-0,376625","22600"
"791098","40,2417638889","-3,7651","28982"
"792235","41,3586","1,7141638889","8720"
"790094","40,3860638889","-3,6431611111","28038"
"855064","39,8628861111","-4,01715","45003"
"1032369","37,364975","-5,983825","41013"
"782826","38,3423","-0,5030138889","3006"
"783565","40,3960611111","-3,3497","28813"
"784350","36,7025","-4,442525","29002"
"807405","42,8512","-2,6804611111","1008"
"777399","38,3424222222","-0,4925833333","3003"
"779304","40,3032166667","-3,3048166667","28511"
"710037","39,4896861111","-0,397275","46015"
"709358","36,7229111111","-4,4384","29010"
"783509","40,4034361111","-3,7484888889","28047"
"783588","40,4767361111","-3,367875","28804"
"783201","40,3929888889","-3,4868888889","28840"
"796446","42,945075","-9,1770861111","15270"
"792920","38,6314611111","0,0050888889","3710"
"793175","42,8604888889","-2,66675","1013"
"796568","38,9604","-5,8624111111","6400"
"796819","38,646075","-0,5978611111","3440"
"797554","38,1096611111","-1,8640611111","30400"
"835313","40,4084138889","-3,6252472222","28030"
"809823","40,5292361111","-3,6525888889","28108"
"809344","41,40105","2,1707888889","8025"
"798503","43,2644888889","-2,9332","48008"
"825266","38,8831861111","-6,99705","6006"
"818813","35,2780611111","-2,9413638889","52006"
"831196","39,5606138889","-0,4846388889","46184"
"723798","36,508125","-4,774625","29604"
"1047562","43,2998861111","-2,8663","48170"
"732068","41,5454722222","2,1063388889","8203"
"804674","37,2139388889","-7,2324361111","21430"
"827034","37,3911","-5,9910861111","41004"
"812619","39,5397388889","2,4485388889","7160"
"797264","36,6136861111","-4,5025361111","29620"
"834380","41,645","-0,86395","50002"
"802334","39,5746","3,2015","7500"
"786797","42,49545","-8,8623888889","36989"
"802678","36,7149388889","-4,1895","29790"
"804954","40,4826111111","-3,71545","28035"
"781998","40,4134861111","-3,69775","28014"
"816731","42,6664638889","-8,1095138889","36500"
"827357","28,4013638889","-16,3422","38190"
"814490","40,4198777778","-3,6924916667","28001"
"805360","37,3860111111","-6,0009388889","41001"
"815394","27,9495138889","-15,3948638889","35219"
"805404","38,404125","-0,433925","3550"
"817425","40,3992","-3,671775","28007"
"893164","40,53675","-3,6387611111","28100"
"763262","41,3599","2,10805","8901"
"794799","42,4648111111","-2,4548611111","26005"
"795659","36,3786","-5,4291888889","11339"
"816511","43,4108361111","-5,658175","33580"
"813921","40,309575","-3,7256611111","28902"
"819048","42,5407166667","-6,5247611111","24413"
"840191","41,5507138889","2,2706361111","8170"
"831832","40,464625","-3,4718111111","28850"
"841073","41,416925","2,1450361111","8023"
"762410","39,0726361111","-0,260175","46760"
"761671","41,3599138889","2,109675","8907"
"761733","41,3599138889","2,109675","8907"
"762242","41,3599","2,10805","8901"
"763410","41,3599","2,11495","8901"
"837415","36,1377388889","-5,4480888889","11202"
"799799","36,786975","-5,5174861111","11660"
"808864","39,97245","-0,053875","12005"
"831558","36,1630861111","-5,349075","11300"
"819303","37,338425","-5,8439888889","41500"
"801536","41,4744388889","2,0797638889","8172"
"820539","40,621675","-3,987675","28400"
"1008795","41,3736","2,1346111111","8028"
"1032302","37,413775","-5,9782888889","41015"
"1046772","41,539875","-5,791825","49192"
